Generation,fitness,metabolic_error,amount_of_dna,nb_coding_rnas,nb_non_coding_rnas,nb_functional_genes,nb_non_functional_genes,nb_mut,nb_switch
536,1.48019e-51,0.117054,5000,1.01758,15.1016,1,0.0175781,0.046875,0.046875
537,1.48164e-51,0.117039,5000,1.02246,15.1133,1,0.0224609,0.0556641,0.0556641
538,1.48164e-51,0.117039,5000,1.02246,15.1016,1,0.0224609,0.0683594,0.0683594
539,1.48019e-51,0.117073,5000,1.02441,15.0889,0.999023,0.0253906,0.0517578,0.0517578
540,1.48164e-51,0.117039,5000,1.03223,15.1377,1,0.0322266,0.0390625,0.0390625
541,1.48164e-51,0.117039,5000,1.02832,15.1367,1,0.0283203,0.0576172,0.0576172
542,1.48164e-51,0.117039,5000,1.02051,15.1504,1,0.0205078,0.0439453,0.0439453
543,1.48164e-51,0.117039,5000,1.02344,15.1768,1,0.0234375,0.046875,0.046875
544,1.48164e-51,0.117039,5000,1.02441,15.2012,1,0.0244141,0.0351562,0.0351562
545,1.48164e-51,0.117039,5000,1.02637,15.167,1,0.0263672,0.0498047,0.0498047
546,1.47785e-51,0.117109,5000,1.03027,15.1387,0.998047,0.0322266,0.0507812,0.0507812
547,1.48164e-51,0.117039,5000,1.0293,15.126,1,0.0292969,0.046875,0.046875
548,1.48019e-51,0.117054,5000,1.03613,15.1572,1,0.0361328,0.0585938,0.0585938
549,1.48164e-51,0.117039,5000,1.03809,15.1455,1,0.0380859,0.0478516,0.0478516
550,1.48019e-51,0.117068,5000,1.03809,15.1748,1,0.0380859,0.0400391,0.0400391
551,1.48019e-51,0.117054,5000,1.03613,15.166,1,0.0361328,0.0429688,0.0429688
552,1.48019e-51,0.117073,5000,1.03418,15.2158,0.999023,0.0351562,0.0390625,0.0390625
553,1.48164e-51,0.117039,5000,1.03418,15.1875,1,0.0341797,0.0419922,0.0419922
554,1.48164e-51,0.117039,5000,1.0332,15.2207,1,0.0332031,0.0507812,0.0507812
555,1.48019e-51,0.117073,5000,1.03711,15.2529,0.999023,0.0380859,0.0507812,0.0507812
556,1.48164e-51,0.117039,5000,1.03516,15.2549,1,0.0351562,0.0527344,0.0527344
557,1.48019e-51,0.117073,5000,1.03809,15.2285,0.999023,0.0390625,0.0537109,0.0537109
558,1.47551e-51,0.117144,5000,1.03125,15.248,0.99707,0.0341797,0.0498047,0.0498047
559,1.47696e-51,0.117071,5000,1.02734,15.2607,1,0.0273438,0.0634766,0.0634766
560,1.48075e-51,0.11704,5000,1.02344,15.2812,1,0.0234375,0.0585938,0.0585938
561,1.47985e-51,0.117041,5000,1.01855,15.2188,1,0.0185547,0.0439453,0.0439453
562,1.47785e-51,0.117104,5000,1.02148,15.2373,0.999023,0.0224609,0.0566406,0.0566406
563,1.47785e-51,0.117117,5000,1.01758,15.2627,0.999023,0.0185547,0.0458984,0.0458984
564,1.48164e-51,0.117039,5000,1.01855,15.2441,1,0.0185547,0.0380859,0.0380859
565,1.48164e-51,0.117039,5000,1.01367,15.2549,1,0.0136719,0.0517578,0.0517578
566,1.48075e-51,0.11704,5000,1.0127,15.2578,1,0.0126953,0.0566406,0.0566406
567,1.48019e-51,0.117073,5000,1.01465,15.2559,0.999023,0.015625,0.0615234,0.0615234
568,1.48019e-51,0.117054,5000,1.0127,15.2432,1,0.0126953,0.0595703,0.0595703
569,1.48164e-51,0.117039,5000,1.0166,15.2529,1,0.0166016,0.0341797,0.0341797
570,1.48164e-51,0.117039,5000,1.01172,15.2285,1,0.0117188,0.0527344,0.0527344
571,1.4793e-51,0.117074,5000,1.01074,15.2266,0.999023,0.0117188,0.0449219,0.0449219
572,1.4784e-51,0.117056,5000,1.00781,15.2178,1,0.0078125,0.0449219,0.0449219
573,1.48075e-51,0.11704,5000,1.00977,15.1953,1,0.00976562,0.046875,0.046875
574,1.48164e-51,0.117039,5000,1.01074,15.207,1,0.0107422,0.0488281,0.0488281
575,1.48019e-51,0.117061,5000,1.01074,15.1602,1,0.0107422,0.0439453,0.0439453
576,1.48164e-51,0.117039,5000,1.01562,15.1465,1.00098,0.0146484,0.0449219,0.0449219
577,1.48019e-51,0.117054,5000,1.01562,15.1689,1,0.015625,0.0605469,0.0605469
578,1.48164e-51,0.117039,5000,1.0166,15.1689,1,0.0166016,0.0449219,0.0449219
579,1.48164e-51,0.117039,5000,1.01758,15.1826,1,0.0175781,0.0478516,0.0478516
580,1.48075e-51,0.11704,5000,1.02051,15.209,1,0.0205078,0.0488281,0.0488281
581,1.4793e-51,0.117055,5000,1.01855,15.1533,1,0.0185547,0.0644531,0.0644531
582,1.48164e-51,0.117039,5000,1.02051,15.1748,1,0.0205078,0.0478516,0.0478516
583,1.48164e-51,0.117039,5000,1.02441,15.1914,1,0.0244141,0.0332031,0.0332031
584,1.48019e-51,0.117054,5000,1.01953,15.2119,1,0.0195312,0.0517578,0.0517578
585,1.48164e-51,0.117039,5000,1.02344,15.1377,1,0.0234375,0.0371094,0.0371094
586,1.47875e-51,0.117108,5000,1.01855,15.1699,0.998047,0.0205078,0.0654297,0.0654297
587,1.48164e-51,0.117039,5000,1.02441,15.1797,1,0.0244141,0.0507812,0.0507812
588,1.48019e-51,0.117073,5000,1.02344,15.1602,0.999023,0.0244141,0.0332031,0.0332031
589,1.48164e-51,0.117039,5000,1.02637,15.1504,1,0.0263672,0.0605469,0.0605469
590,1.48019e-51,0.117054,5000,1.02344,15.1602,1,0.0234375,0.046875,0.046875
591,1.48075e-51,0.11704,5000,1.02246,15.1582,1,0.0224609,0.0507812,0.0507812
592,1.48164e-51,0.117039,5000,1.02832,15.1582,1,0.0283203,0.03125,0.03125
593,1.47875e-51,0.117088,5000,1.02344,15.1475,0.999023,0.0244141,0.0429688,0.0429688
594,1.48164e-51,0.117039,5000,1.02246,15.1387,1,0.0224609,0.0439453,0.0439453
595,1.47875e-51,0.117069,5000,1.03223,15.1758,1,0.0322266,0.0576172,0.0576172
596,1.48164e-51,0.117039,5000,1.02832,15.2178,1,0.0283203,0.046875,0.046875
597,1.48164e-51,0.117039,5000,1.02832,15.2207,1,0.0283203,0.0576172,0.0576172
598,1.48164e-51,0.117039,5000,1.02246,15.1875,1,0.0224609,0.0517578,0.0517578
599,1.48164e-51,0.117039,5000,1.01953,15.1846,1,0.0195312,0.0400391,0.0400391
600,1.48164e-51,0.117039,5000,1.02344,15.1914,1,0.0234375,0.0517578,0.0517578
601,1.48019e-51,0.117061,5000,1.01855,15.2158,1,0.0185547,0.0507812,0.0507812
602,1.48164e-51,0.117039,5000,1.01562,15.252,1,0.015625,0.0585938,0.0585938
603,1.48164e-51,0.117039,5000,1.0127,15.2568,1,0.0126953,0.0400391,0.0400391
604,1.48019e-51,0.117054,5000,1.0127,15.3086,1,0.0126953,0.0644531,0.0644531
605,1.48164e-51,0.117039,5000,1.00879,15.3076,1,0.00878906,0.0419922,0.0419922
606,1.48164e-51,0.117039,5000,1.00977,15.3086,1,0.00976562,0.0400391,0.0400391
607,1.48019e-51,0.117054,5000,1.01562,15.3223,1,0.015625,0.0537109,0.0537109
608,1.48164e-51,0.117039,5000,1.01758,15.3184,1,0.0175781,0.0498047,0.0498047
609,1.48164e-51,0.117039,5000,1.02051,15.335,1,0.0205078,0.0537109,0.0537109
610,1.48164e-51,0.117039,5000,1.02051,15.3857,1,0.0205078,0.0537109,0.0537109
611,1.47875e-51,0.117108,5000,1.01855,15.3662,0.998047,0.0205078,0.0703125,0.0703125
612,1.47875e-51,0.117088,5000,1.02832,15.375,0.999023,0.0292969,0.0390625,0.0390625
613,1.48164e-51,0.117039,5000,1.02051,15.3594,1,0.0205078,0.0449219,0.0449219
614,1.48164e-51,0.117039,5000,1.02051,15.3535,1,0.0205078,0.0546875,0.0546875
615,1.48164e-51,0.117039,5000,1.02148,15.3555,1,0.0214844,0.0488281,0.0488281
616,1.48164e-51,0.117039,5000,1.02148,15.3135,1,0.0214844,0.0507812,0.0507812
617,1.47875e-51,0.117083,5000,1.02051,15.2881,1,0.0205078,0.0605469,0.0605469
618,1.48164e-51,0.117039,5000,1.02637,15.29,1,0.0263672,0.0517578,0.0517578
619,1.48164e-51,0.117039,5000,1.02344,15.2861,1,0.0234375,0.0507812,0.0507812
620,1.48019e-51,0.117054,5000,1.02051,15.2598,1,0.0205078,0.0507812,0.0507812
621,1.48164e-51,0.117039,5000,1.01855,15.251,1,0.0185547,0.0351562,0.0351562
622,1.48019e-51,0.117054,5000,1.01562,15.2461,1,0.015625,0.0488281,0.0488281
623,1.48164e-51,0.117039,5000,1.02148,15.252,1,0.0214844,0.0615234,0.0615234
624,1.48164e-51,0.117039,5000,1.02441,15.2275,1,0.0244141,0.0478516,0.0478516
625,1.48164e-51,0.117039,5000,1.02441,15.2197,1,0.0244141,0.0478516,0.0478516
626,1.48164e-51,0.117039,5000,1.02441,15.2422,1,0.0244141,0.0498047,0.0498047
627,1.48164e-51,0.117039,5000,1.02441,15.251,1,0.0244141,0.0507812,0.0507812
628,1.48164e-51,0.117039,5000,1.02734,15.2568,1,0.0273438,0.0449219,0.0449219
629,1.47876e-51,0.117059,5000,1.02637,15.2539,1.00098,0.0253906,0.0585938,0.0585938
630,1.48164e-51,0.117039,5000,1.02539,15.2549,1,0.0253906,0.0664062,0.0664062
631,1.48019e-51,0.117073,5000,1.02539,15.2373,0.999023,0.0263672,0.0419922,0.0419922
632,1.48019e-51,0.117054,5000,1.01953,15.2637,1,0.0195312,0.0488281,0.0488281
633,1.48164e-51,0.117039,5000,1.02148,15.2598,1,0.0214844,0.0498047,0.0498047
634,1.48019e-51,0.117073,5000,1.02148,15.2812,0.999023,0.0224609,0.0566406,0.0566406
635,1.48164e-51,0.117039,5000,1.01855,15.3164,1,0.0185547,0.0439453,0.0439453
636,1.48019e-51,0.117054,5000,1.02344,15.3311,1,0.0234375,0.0488281,0.0488281
637,1.48164e-51,0.117039,5000,1.02734,15.3525,1,0.0273438,0.0400391,0.0400391
638,1.48164e-51,0.117039,5000,1.03027,15.3682,1,0.0302734,0.0400391,0.0400391
639,1.48164e-51,0.117039,5000,1.04102,15.4209,1,0.0410156,0.0605469,0.0605469
